epoch 001 | train_loss=0.6602 | val_loss=0.3705 | val_acc=0.8386 | val_macro_f1=0.8270
epoch 002 | train_loss=0.3527 | val_loss=0.3315 | val_acc=0.8651 | val_macro_f1=0.8462
epoch 003 | train_loss=0.2310 | val_loss=0.1532 | val_acc=0.9555 | val_macro_f1=0.9554
epoch 004 | train_loss=0.1533 | val_loss=0.1012 | val_acc=0.9710 | val_macro_f1=0.9711
epoch 005 | train_loss=0.1301 | val_loss=0.1230 | val_acc=0.9629 | val_macro_f1=0.9629
epoch 006 | train_loss=0.1031 | val_loss=0.1109 | val_acc=0.9675 | val_macro_f1=0.9674
epoch 007 | train_loss=0.0928 | val_loss=0.0776 | val_acc=0.9763 | val_macro_f1=0.9763
epoch 008 | train_loss=0.0991 | val_loss=0.1146 | val_acc=0.9622 | val_macro_f1=0.9622
epoch 009 | train_loss=0.0784 | val_loss=0.0676 | val_acc=0.9816 | val_macro_f1=0.9816
epoch 010 | train_loss=0.0706 | val_loss=0.0718 | val_acc=0.9780 | val_macro_f1=0.9780
epoch 011 | train_loss=0.0748 | val_loss=0.0695 | val_acc=0.9796 | val_macro_f1=0.9796
epoch 012 | train_loss=0.0674 | val_loss=0.0841 | val_acc=0.9747 | val_macro_f1=0.9747
epoch 013 | train_loss=0.0733 | val_loss=0.1027 | val_acc=0.9735 | val_macro_f1=0.9735
epoch 014 | train_loss=0.0652 | val_loss=0.0449 | val_acc=0.9867 | val_macro_f1=0.9867
epoch 015 | train_loss=0.0568 | val_loss=0.0570 | val_acc=0.9839 | val_macro_f1=0.9839
epoch 016 | train_loss=0.0520 | val_loss=0.0512 | val_acc=0.9859 | val_macro_f1=0.9859
epoch 017 | train_loss=0.0495 | val_loss=0.0602 | val_acc=0.9837 | val_macro_f1=0.9837
epoch 018 | train_loss=0.0603 | val_loss=0.0482 | val_acc=0.9851 | val_macro_f1=0.9851
epoch 019 | train_loss=0.0514 | val_loss=0.0529 | val_acc=0.9845 | val_macro_f1=0.9845
epoch 020 | train_loss=0.0485 | val_loss=0.0554 | val_acc=0.9839 | val_macro_f1=0.9839
epoch 021 | train_loss=0.0441 | val_loss=0.0402 | val_acc=0.9896 | val_macro_f1=0.9896
epoch 022 | train_loss=0.0442 | val_loss=0.0935 | val_acc=0.9718 | val_macro_f1=0.9722
epoch 023 | train_loss=0.0510 | val_loss=0.0489 | val_acc=0.9873 | val_macro_f1=0.9873
epoch 024 | train_loss=0.0486 | val_loss=0.0470 | val_acc=0.9843 | val_macro_f1=0.9843
epoch 025 | train_loss=0.0423 | val_loss=0.0347 | val_acc=0.9902 | val_macro_f1=0.9902
epoch 026 | train_loss=0.0370 | val_loss=0.0650 | val_acc=0.9818 | val_macro_f1=0.9817
epoch 027 | train_loss=0.0419 | val_loss=0.0563 | val_acc=0.9849 | val_macro_f1=0.9849
