epoch 001 | train_loss=0.7836 | val_loss=0.3885 | val_acc=0.8273 | val_macro_f1=0.8140
epoch 002 | train_loss=0.3478 | val_loss=0.3425 | val_acc=0.8478 | val_macro_f1=0.8310
epoch 003 | train_loss=0.2873 | val_loss=0.2190 | val_acc=0.9220 | val_macro_f1=0.9216
epoch 004 | train_loss=0.2243 | val_loss=0.1757 | val_acc=0.9396 | val_macro_f1=0.9397
epoch 005 | train_loss=0.1542 | val_loss=0.1040 | val_acc=0.9676 | val_macro_f1=0.9676
epoch 006 | train_loss=0.1048 | val_loss=0.0772 | val_acc=0.9761 | val_macro_f1=0.9761
epoch 007 | train_loss=0.0837 | val_loss=0.1100 | val_acc=0.9627 | val_macro_f1=0.9631
epoch 008 | train_loss=0.0852 | val_loss=0.0820 | val_acc=0.9727 | val_macro_f1=0.9728
epoch 009 | train_loss=0.0640 | val_loss=0.0646 | val_acc=0.9786 | val_macro_f1=0.9787
epoch 010 | train_loss=0.0619 | val_loss=0.0548 | val_acc=0.9820 | val_macro_f1=0.9820
epoch 011 | train_loss=0.0567 | val_loss=0.0530 | val_acc=0.9853 | val_macro_f1=0.9853
epoch 012 | train_loss=0.0512 | val_loss=0.0486 | val_acc=0.9857 | val_macro_f1=0.9857
epoch 013 | train_loss=0.0481 | val_loss=0.0509 | val_acc=0.9825 | val_macro_f1=0.9826
epoch 014 | train_loss=0.0486 | val_loss=0.0469 | val_acc=0.9853 | val_macro_f1=0.9853
epoch 015 | train_loss=0.0426 | val_loss=0.0477 | val_acc=0.9845 | val_macro_f1=0.9845
epoch 016 | train_loss=0.0449 | val_loss=0.0363 | val_acc=0.9888 | val_macro_f1=0.9888
epoch 017 | train_loss=0.0333 | val_loss=0.0377 | val_acc=0.9878 | val_macro_f1=0.9878
epoch 018 | train_loss=0.0370 | val_loss=0.0466 | val_acc=0.9845 | val_macro_f1=0.9845
epoch 019 | train_loss=0.0398 | val_loss=0.0568 | val_acc=0.9833 | val_macro_f1=0.9833
epoch 020 | train_loss=0.0323 | val_loss=0.0295 | val_acc=0.9886 | val_macro_f1=0.9886
epoch 021 | train_loss=0.0356 | val_loss=0.0604 | val_acc=0.9792 | val_macro_f1=0.9793
epoch 022 | train_loss=0.0342 | val_loss=0.0340 | val_acc=0.9908 | val_macro_f1=0.9908
epoch 023 | train_loss=0.0288 | val_loss=0.0307 | val_acc=0.9906 | val_macro_f1=0.9906
epoch 024 | train_loss=0.0301 | val_loss=0.0312 | val_acc=0.9892 | val_macro_f1=0.9892
epoch 025 | train_loss=0.0309 | val_loss=0.0303 | val_acc=0.9892 | val_macro_f1=0.9892
epoch 026 | train_loss=0.0333 | val_loss=0.0309 | val_acc=0.9892 | val_macro_f1=0.9892
epoch 027 | train_loss=0.0253 | val_loss=0.0415 | val_acc=0.9884 | val_macro_f1=0.9884
epoch 028 | train_loss=0.0294 | val_loss=0.0269 | val_acc=0.9925 | val_macro_f1=0.9926
epoch 029 | train_loss=0.0218 | val_loss=0.0304 | val_acc=0.9906 | val_macro_f1=0.9906
epoch 030 | train_loss=0.0314 | val_loss=0.0415 | val_acc=0.9855 | val_macro_f1=0.9856
epoch 031 | train_loss=0.0251 | val_loss=0.0302 | val_acc=0.9927 | val_macro_f1=0.9927
epoch 032 | train_loss=0.0207 | val_loss=0.0293 | val_acc=0.9904 | val_macro_f1=0.9904
epoch 033 | train_loss=0.0255 | val_loss=0.0394 | val_acc=0.9884 | val_macro_f1=0.9884
epoch 034 | train_loss=0.0230 | val_loss=0.0380 | val_acc=0.9886 | val_macro_f1=0.9886
epoch 035 | train_loss=0.0182 | val_loss=0.0283 | val_acc=0.9908 | val_macro_f1=0.9908
epoch 036 | train_loss=0.0162 | val_loss=0.0195 | val_acc=0.9939 | val_macro_f1=0.9939
epoch 037 | train_loss=0.0255 | val_loss=0.0604 | val_acc=0.9812 | val_macro_f1=0.9811
epoch 038 | train_loss=0.0212 | val_loss=0.0196 | val_acc=0.9951 | val_macro_f1=0.9951
epoch 039 | train_loss=0.0177 | val_loss=0.0290 | val_acc=0.9920 | val_macro_f1=0.9920
epoch 040 | train_loss=0.0311 | val_loss=0.0374 | val_acc=0.9886 | val_macro_f1=0.9886
epoch 041 | train_loss=0.0224 | val_loss=0.0249 | val_acc=0.9937 | val_macro_f1=0.9937
epoch 042 | train_loss=0.0179 | val_loss=0.0386 | val_acc=0.9865 | val_macro_f1=0.9865
epoch 043 | train_loss=0.0162 | val_loss=0.0250 | val_acc=0.9924 | val_macro_f1=0.9924
epoch 044 | train_loss=0.0150 | val_loss=0.0309 | val_acc=0.9937 | val_macro_f1=0.9937
epoch 045 | train_loss=0.0240 | val_loss=0.0292 | val_acc=0.9908 | val_macro_f1=0.9908
epoch 046 | train_loss=0.0228 | val_loss=0.0256 | val_acc=0.9914 | val_macro_f1=0.9914
epoch 047 | train_loss=0.0151 | val_loss=0.0325 | val_acc=0.9912 | val_macro_f1=0.9912
epoch 048 | train_loss=0.0154 | val_loss=0.0149 | val_acc=0.9953 | val_macro_f1=0.9953
epoch 049 | train_loss=0.0157 | val_loss=0.0247 | val_acc=0.9927 | val_macro_f1=0.9928
epoch 050 | train_loss=0.0226 | val_loss=0.0285 | val_acc=0.9898 | val_macro_f1=0.9898
epoch 051 | train_loss=0.0183 | val_loss=0.0275 | val_acc=0.9924 | val_macro_f1=0.9924
epoch 052 | train_loss=0.0148 | val_loss=0.0222 | val_acc=0.9931 | val_macro_f1=0.9931
epoch 053 | train_loss=0.0128 | val_loss=0.0284 | val_acc=0.9916 | val_macro_f1=0.9916
epoch 054 | train_loss=0.0197 | val_loss=0.0260 | val_acc=0.9920 | val_macro_f1=0.9920
epoch 055 | train_loss=0.0172 | val_loss=0.0198 | val_acc=0.9939 | val_macro_f1=0.9939
epoch 056 | train_loss=0.0217 | val_loss=0.0242 | val_acc=0.9920 | val_macro_f1=0.9920
epoch 057 | train_loss=0.0142 | val_loss=0.0200 | val_acc=0.9935 | val_macro_f1=0.9935
epoch 058 | train_loss=0.0197 | val_loss=0.0369 | val_acc=0.9863 | val_macro_f1=0.9863
epoch 059 | train_loss=0.0144 | val_loss=0.0131 | val_acc=0.9963 | val_macro_f1=0.9963
epoch 060 | train_loss=0.0149 | val_loss=0.0241 | val_acc=0.9927 | val_macro_f1=0.9928
Best checkpoint written to artifacts/stgcn_v2/medium/temporal_gesture_net/best_model.pt
