epoch 001 | train_loss=0.9765 | val_loss=0.4275 | val_acc=0.8229 | val_macro_f1=0.8031
epoch 002 | train_loss=0.3857 | val_loss=0.3352 | val_acc=0.8649 | val_macro_f1=0.8637
epoch 003 | train_loss=0.3277 | val_loss=0.2976 | val_acc=0.8704 | val_macro_f1=0.8590
epoch 004 | train_loss=0.2748 | val_loss=0.2452 | val_acc=0.9067 | val_macro_f1=0.9058
epoch 005 | train_loss=0.2124 | val_loss=0.1435 | val_acc=0.9569 | val_macro_f1=0.9571
epoch 006 | train_loss=0.1574 | val_loss=0.0908 | val_acc=0.9718 | val_macro_f1=0.9719
epoch 007 | train_loss=0.1162 | val_loss=0.0750 | val_acc=0.9737 | val_macro_f1=0.9738
epoch 008 | train_loss=0.1026 | val_loss=0.0662 | val_acc=0.9784 | val_macro_f1=0.9784
epoch 009 | train_loss=0.0842 | val_loss=0.0608 | val_acc=0.9812 | val_macro_f1=0.9812
epoch 010 | train_loss=0.0732 | val_loss=0.0618 | val_acc=0.9800 | val_macro_f1=0.9800
epoch 011 | train_loss=0.0690 | val_loss=0.0614 | val_acc=0.9818 | val_macro_f1=0.9818
epoch 012 | train_loss=0.0618 | val_loss=0.0559 | val_acc=0.9808 | val_macro_f1=0.9808
epoch 013 | train_loss=0.0665 | val_loss=0.0600 | val_acc=0.9816 | val_macro_f1=0.9816
epoch 014 | train_loss=0.0578 | val_loss=0.0386 | val_acc=0.9869 | val_macro_f1=0.9868
epoch 015 | train_loss=0.0482 | val_loss=0.0370 | val_acc=0.9888 | val_macro_f1=0.9888
epoch 016 | train_loss=0.0496 | val_loss=0.0392 | val_acc=0.9869 | val_macro_f1=0.9869
epoch 017 | train_loss=0.0476 | val_loss=0.0549 | val_acc=0.9825 | val_macro_f1=0.9826
epoch 018 | train_loss=0.0447 | val_loss=0.0387 | val_acc=0.9878 | val_macro_f1=0.9879
epoch 019 | train_loss=0.0432 | val_loss=0.0368 | val_acc=0.9867 | val_macro_f1=0.9867
epoch 020 | train_loss=0.0392 | val_loss=0.0418 | val_acc=0.9869 | val_macro_f1=0.9869
epoch 021 | train_loss=0.0456 | val_loss=0.0421 | val_acc=0.9873 | val_macro_f1=0.9873
epoch 022 | train_loss=0.0395 | val_loss=0.0556 | val_acc=0.9847 | val_macro_f1=0.9847
epoch 023 | train_loss=0.0338 | val_loss=0.0353 | val_acc=0.9867 | val_macro_f1=0.9867
epoch 024 | train_loss=0.0358 | val_loss=0.0386 | val_acc=0.9888 | val_macro_f1=0.9888
epoch 025 | train_loss=0.0314 | val_loss=0.0452 | val_acc=0.9863 | val_macro_f1=0.9862
epoch 026 | train_loss=0.0331 | val_loss=0.0252 | val_acc=0.9910 | val_macro_f1=0.9910
epoch 027 | train_loss=0.0323 | val_loss=0.0377 | val_acc=0.9869 | val_macro_f1=0.9869
epoch 028 | train_loss=0.0314 | val_loss=0.0326 | val_acc=0.9890 | val_macro_f1=0.9890
epoch 029 | train_loss=0.0315 | val_loss=0.0369 | val_acc=0.9878 | val_macro_f1=0.9879
epoch 030 | train_loss=0.0333 | val_loss=0.0446 | val_acc=0.9847 | val_macro_f1=0.9847
epoch 031 | train_loss=0.0264 | val_loss=0.0305 | val_acc=0.9912 | val_macro_f1=0.9912
epoch 032 | train_loss=0.0261 | val_loss=0.0201 | val_acc=0.9945 | val_macro_f1=0.9945
epoch 033 | train_loss=0.0254 | val_loss=0.0314 | val_acc=0.9918 | val_macro_f1=0.9918
epoch 034 | train_loss=0.0261 | val_loss=0.0412 | val_acc=0.9880 | val_macro_f1=0.9880
epoch 035 | train_loss=0.0230 | val_loss=0.0215 | val_acc=0.9927 | val_macro_f1=0.9927
epoch 036 | train_loss=0.0250 | val_loss=0.0396 | val_acc=0.9873 | val_macro_f1=0.9873
epoch 037 | train_loss=0.0231 | val_loss=0.0230 | val_acc=0.9931 | val_macro_f1=0.9931
epoch 038 | train_loss=0.0231 | val_loss=0.0335 | val_acc=0.9888 | val_macro_f1=0.9888
epoch 039 | train_loss=0.0238 | val_loss=0.0292 | val_acc=0.9914 | val_macro_f1=0.9914
epoch 040 | train_loss=0.0221 | val_loss=0.0309 | val_acc=0.9902 | val_macro_f1=0.9902
epoch 041 | train_loss=0.0233 | val_loss=0.0422 | val_acc=0.9892 | val_macro_f1=0.9892
epoch 042 | train_loss=0.0306 | val_loss=0.0227 | val_acc=0.9922 | val_macro_f1=0.9922
epoch 043 | train_loss=0.0204 | val_loss=0.0299 | val_acc=0.9904 | val_macro_f1=0.9904
epoch 044 | train_loss=0.0194 | val_loss=0.0242 | val_acc=0.9922 | val_macro_f1=0.9922
epoch 045 | train_loss=0.0185 | val_loss=0.0286 | val_acc=0.9918 | val_macro_f1=0.9918
epoch 046 | train_loss=0.0204 | val_loss=0.0215 | val_acc=0.9933 | val_macro_f1=0.9933
epoch 047 | train_loss=0.0177 | val_loss=0.0178 | val_acc=0.9929 | val_macro_f1=0.9929
epoch 048 | train_loss=0.0170 | val_loss=0.0311 | val_acc=0.9906 | val_macro_f1=0.9906
epoch 049 | train_loss=0.0255 | val_loss=0.0206 | val_acc=0.9925 | val_macro_f1=0.9925
epoch 050 | train_loss=0.0189 | val_loss=0.0233 | val_acc=0.9929 | val_macro_f1=0.9929
epoch 051 | train_loss=0.0211 | val_loss=0.0240 | val_acc=0.9922 | val_macro_f1=0.9922
epoch 052 | train_loss=0.0174 | val_loss=0.0236 | val_acc=0.9925 | val_macro_f1=0.9926
epoch 053 | train_loss=0.0158 | val_loss=0.0216 | val_acc=0.9924 | val_macro_f1=0.9924
