epoch 001 | train_loss=0.8096 | val_loss=0.4565 | val_acc=0.8069 | val_macro_f1=0.7869
epoch 002 | train_loss=0.4141 | val_loss=0.3624 | val_acc=0.8492 | val_macro_f1=0.8338
epoch 003 | train_loss=0.3726 | val_loss=0.3818 | val_acc=0.8518 | val_macro_f1=0.8408
epoch 004 | train_loss=0.3269 | val_loss=0.2995 | val_acc=0.8963 | val_macro_f1=0.8960
epoch 005 | train_loss=0.2698 | val_loss=0.2634 | val_acc=0.9241 | val_macro_f1=0.9250
epoch 006 | train_loss=0.2708 | val_loss=0.1595 | val_acc=0.9488 | val_macro_f1=0.9484
epoch 007 | train_loss=0.1823 | val_loss=0.1260 | val_acc=0.9686 | val_macro_f1=0.9686
epoch 008 | train_loss=0.1500 | val_loss=0.1467 | val_acc=0.9600 | val_macro_f1=0.9607
epoch 009 | train_loss=0.1315 | val_loss=0.1259 | val_acc=0.9596 | val_macro_f1=0.9599
epoch 010 | train_loss=0.1220 | val_loss=0.1555 | val_acc=0.9569 | val_macro_f1=0.9569
epoch 011 | train_loss=0.1245 | val_loss=0.0999 | val_acc=0.9724 | val_macro_f1=0.9724
epoch 012 | train_loss=0.1256 | val_loss=0.1332 | val_acc=0.9643 | val_macro_f1=0.9645
epoch 013 | train_loss=0.1114 | val_loss=0.1299 | val_acc=0.9631 | val_macro_f1=0.9632
epoch 014 | train_loss=0.1098 | val_loss=0.0965 | val_acc=0.9737 | val_macro_f1=0.9738
epoch 015 | train_loss=0.1167 | val_loss=0.0983 | val_acc=0.9716 | val_macro_f1=0.9717
epoch 016 | train_loss=0.1253 | val_loss=0.1642 | val_acc=0.9578 | val_macro_f1=0.9583
epoch 017 | train_loss=0.2135 | val_loss=0.2308 | val_acc=0.9396 | val_macro_f1=0.9392
epoch 018 | train_loss=0.3083 | val_loss=0.1941 | val_acc=0.9506 | val_macro_f1=0.9507
epoch 019 | train_loss=0.2641 | val_loss=0.2791 | val_acc=0.9075 | val_macro_f1=0.9048
epoch 020 | train_loss=0.3314 | val_loss=0.2700 | val_acc=0.8984 | val_macro_f1=0.8959
epoch 021 | train_loss=0.2890 | val_loss=0.4196 | val_acc=0.8827 | val_macro_f1=0.8765
epoch 022 | train_loss=0.3507 | val_loss=0.3328 | val_acc=0.8814 | val_macro_f1=0.8758
epoch 023 | train_loss=0.2967 | val_loss=0.3247 | val_acc=0.8869 | val_macro_f1=0.8858
epoch 024 | train_loss=0.3234 | val_loss=0.2611 | val_acc=0.9167 | val_macro_f1=0.9168
epoch 025 | train_loss=0.2991 | val_loss=0.2628 | val_acc=0.9118 | val_macro_f1=0.9116
epoch 026 | train_loss=0.6326 | val_loss=0.6950 | val_acc=0.7747 | val_macro_f1=0.7725
epoch 027 | train_loss=0.5571 | val_loss=0.3656 | val_acc=0.8504 | val_macro_f1=0.8290
epoch 028 | train_loss=0.3532 | val_loss=0.3276 | val_acc=0.8747 | val_macro_f1=0.8632
epoch 029 | train_loss=0.3654 | val_loss=0.4501 | val_acc=0.8522 | val_macro_f1=0.8530
epoch 030 | train_loss=0.4719 | val_loss=0.4307 | val_acc=0.8235 | val_macro_f1=0.7943
epoch 031 | train_loss=0.3599 | val_loss=0.4283 | val_acc=0.8402 | val_macro_f1=0.8215
epoch 032 | train_loss=0.3408 | val_loss=0.3575 | val_acc=0.8833 | val_macro_f1=0.8831
epoch 033 | train_loss=0.3443 | val_loss=0.3636 | val_acc=0.8645 | val_macro_f1=0.8621
epoch 034 | train_loss=0.3152 | val_loss=0.2848 | val_acc=0.9057 | val_macro_f1=0.9054
epoch 035 | train_loss=0.3942 | val_loss=0.3398 | val_acc=0.8949 | val_macro_f1=0.8949
epoch 036 | train_loss=0.3351 | val_loss=0.3497 | val_acc=0.8841 | val_macro_f1=0.8829
epoch 037 | train_loss=0.4248 | val_loss=0.4598 | val_acc=0.8410 | val_macro_f1=0.8346
epoch 038 | train_loss=0.4434 | val_loss=0.3535 | val_acc=0.8824 | val_macro_f1=0.8810
epoch 039 | train_loss=0.4239 | val_loss=0.5253 | val_acc=0.8267 | val_macro_f1=0.8241
epoch 040 | train_loss=0.4619 | val_loss=0.5983 | val_acc=0.7906 | val_macro_f1=0.7780
epoch 041 | train_loss=1.0002 | val_loss=3.7829 | val_acc=0.1510 | val_macro_f1=0.0941
epoch 042 | train_loss=1.3561 | val_loss=0.8271 | val_acc=0.6788 | val_macro_f1=0.6593
epoch 043 | train_loss=0.9751 | val_loss=0.7585 | val_acc=0.7229 | val_macro_f1=0.6961
epoch 044 | train_loss=0.6980 | val_loss=0.7132 | val_acc=0.7249 | val_macro_f1=0.6847
epoch 045 | train_loss=0.5825 | val_loss=0.5956 | val_acc=0.7684 | val_macro_f1=0.7343
epoch 046 | train_loss=0.6727 | val_loss=0.8894 | val_acc=0.6800 | val_macro_f1=0.6265
epoch 047 | train_loss=0.5461 | val_loss=0.4991 | val_acc=0.8112 | val_macro_f1=0.7980
epoch 048 | train_loss=0.6884 | val_loss=0.5489 | val_acc=0.7965 | val_macro_f1=0.7790
epoch 049 | train_loss=0.6685 | val_loss=0.5707 | val_acc=0.7761 | val_macro_f1=0.7634
epoch 050 | train_loss=0.5588 | val_loss=0.8454 | val_acc=0.6906 | val_macro_f1=0.6734
epoch 051 | train_loss=0.5424 | val_loss=0.6029 | val_acc=0.7776 | val_macro_f1=0.7631
epoch 052 | train_loss=0.5769 | val_loss=0.6291 | val_acc=0.7804 | val_macro_f1=0.7579
epoch 053 | train_loss=0.6172 | val_loss=0.7767 | val_acc=0.7194 | val_macro_f1=0.7042
epoch 054 | train_loss=0.6705 | val_loss=0.7440 | val_acc=0.7257 | val_macro_f1=0.7050
epoch 055 | train_loss=0.5586 | val_loss=0.4895 | val_acc=0.8108 | val_macro_f1=0.7971
epoch 056 | train_loss=0.5384 | val_loss=1.0400 | val_acc=0.6961 | val_macro_f1=0.6541
epoch 057 | train_loss=0.4836 | val_loss=0.5053 | val_acc=0.7998 | val_macro_f1=0.7859
epoch 058 | train_loss=0.5075 | val_loss=0.5545 | val_acc=0.8047 | val_macro_f1=0.8030
epoch 059 | train_loss=0.5394 | val_loss=0.5352 | val_acc=0.7924 | val_macro_f1=0.7690
epoch 060 | train_loss=0.5587 | val_loss=0.5655 | val_acc=0.8092 | val_macro_f1=0.8030
Best checkpoint written to artifacts/stgcn_v2/xlarge/temporal_gesture_net/best_model.pt
