repo	stars	forks	license	updated_at	pushed_at	py_files	ipynb	has_mediapipe	has_tf	has_torch	has_onnx	has_lstm	has_transformer	has_dtw	has_web	has_ros
Nam-H-Pham/American-Sign-Language-Recognition	10	0	GPL-3.0	2024-12-08T12:52:31Z	2023-10-18T10:11:38Z	6	0	yes	no	no	no	no	no	no	no	no
HarshitDolu/Finger-Counter-using-mediapipe	4	4	NO-LICENSE	2025-10-10T15:29:54Z	2021-04-05T08:20:04Z	2	0	yes	no	no	no	no	no	no	no	no
Viral-Doshi/Gesture-Controlled-Virtual-Mouse	781	242	GPL-3.0	2026-04-15T12:46:34Z	2023-11-13T20:55:38Z	5	0	yes	no	no	no	no	yes	no	no	no
sorohere/Hand-Pose-Detection	16	2	NO-LICENSE	2026-03-12T05:16:56Z	2024-07-04T17:19:12Z	38	1	yes	yes	no	no	no	no	no	yes	no
xinyang-sun/HandTrackingWithUnity-Mediapipe	84	15	MIT	2026-04-06T01:22:42Z	2023-05-18T15:21:20Z	0	0	yes	no	no	no	no	no	no	no	no
ofelipelucca/LibrasController	6	0	MIT	2026-03-01T08:36:02Z	2025-02-28T20:10:36Z	42	0	yes	no	no	no	no	no	no	yes	no
MonzerDev/Real-Time-Sign-Language-Recognition	9	1	NO-LICENSE	2026-03-19T06:49:31Z	2025-02-02T20:41:17Z	6	0	yes	no	yes	no	no	no	no	no	no
gabguerin/Sign-Language-Recognition--MediaPipe-DTW	94	25	MIT	2026-03-29T16:21:00Z	2023-12-10T07:00:58Z	11	0	yes	no	no	no	no	no	yes	no	no
RhythmusByte/Sign-Language-to-Speech	10	0	BSD-3-Clause	2026-03-31T01:24:10Z	2025-12-25T17:02:53Z	1	0	yes	yes	no	no	no	no	no	no	no
neural-control-and-computation-lab/athena	34	6	MIT	2026-03-29T18:06:17Z	2026-04-12T20:55:37Z	5	0	yes	no	no	no	no	no	no	no	no
cvzone/cvzone	1312	280	MIT	2026-04-12T07:37:05Z	2024-05-10T12:42:26Z	32	0	yes	yes	no	no	no	no	no	no	no
OwenTalmo/finger-counter	4	3	NO-LICENSE	2025-01-11T18:30:16Z	2023-06-01T16:05:54Z	1	0	yes	no	no	no	no	no	no	no	no
Kazuhito00/hand-gesture-recognition-using-mediapipe	731	668	Apache-2.0	2026-04-09T19:05:10Z	2023-04-05T00:51:50Z	6	2	yes	yes	no	yes	yes	no	no	yes	no
PINTO0309/hand-gesture-recognition-using-onnx	77	16	Apache-2.0	2026-03-30T12:40:35Z	2026-01-06T06:46:23Z	11	2	yes	yes	yes	yes	yes	no	no	no	no
luc1k1/hand-tracking	17	0	MIT	2025-05-27T14:37:43Z	2025-02-22T09:46:04Z	1	0	yes	no	no	no	no	no	no	yes	no
wolterlw/hand_tracking	155	37	Apache-2.0	2026-04-15T04:19:59Z	2020-09-20T02:29:04Z	1	1	yes	yes	no	no	no	no	no	yes	no
google-ai-edge/mediapipe	34746	5913	Apache-2.0	2026-04-15T21:38:56Z	2026-04-15T15:51:53Z	316	0	yes	yes	yes	no	yes	yes	no	yes	yes
209sontung/sign-language	49	7	MIT	2026-04-08T21:08:42Z	2023-10-05T07:30:36Z	5	0	yes	yes	no	no	no	yes	no	yes	no
kevinjosethomas/sign-language-processing	61	11	MIT	2026-03-23T12:28:25Z	2025-02-16T03:18:43Z	18	0	yes	yes	no	no	yes	yes	no	yes	no
kinivi/tello-gesture-control	337	97	Apache-2.0	2026-04-15T12:25:03Z	2023-08-29T09:25:53Z	14	1	yes	yes	no	no	yes	yes	no	yes	no
